Experiment;Sample_date;Time_years;ambient_CO2;increased_CO2;ambient_CO2_n;increased_CO2_n;Depth
SwissFACE- clover - high N;01.05.95;2;2916;3496;3;3;0-10 cm
SwissFACE- clover - high N;01.05.96;3;3256;3688;3;3;0-10 cm
SwissFACE- clover - high N;01.05.97;4;2725;2996;3;3;0-10 cm
SwissFACE- clover - high N;01.05.98;5;3233;3406;3;3;0-10 cm
SwissFACE- clover - high N;01.05.99;6;2759;3153;3;3;0-10 cm
SwissFACE- clover - high N;01.05.00;7;2630;2434;3;3;0-10 cm
SwissFACE- clover - high N;01.05.01;8;3528;3572;3;3;0-10 cm
SwissFACE- clover - high N;01.05.02;9;3209;3456;3;3;0-10 cm
SwissFACE- clover - high N;01.05.03;10;2993;3236;3;3;0-10 cm
;;;;;;;
Swiss Greenhouse;-;0;1280;1280;2;2;0-20 cm
Swiss Greenhouse;-;0.25;1205;980;2;2;0-20 cm
;;;;;;;
Tallgrass Prairie;01.11.92;2.5;2985;2860;3;3;0-5 cm
Tallgrass Prairie;01.10.96;8;2181;2372;3;3;0-5 cm
;;;;;;;
UMBS - aspen;01.05.91;0;297;297;4;4;0-15 cm
UMBS - aspen;01.10.91;0.5;242;290;4;4;0-15 cm
;;;;;;;
WSL - loam, low N;01.01.95;0;1290;1290;4;4;0-10 cm
WSL - loam, low N;01.09.98;3.75;1317;1471;4;4;0-10 cm
;;;;;;;
WSL - loam, high N;01.01.95;0;1290;1290;4;4;0-10 cm
WSL - loam, high N;01.09.98;3.75;1482;1547;4;4;0-10 cm
;;;;;;;
WSL - sand, low N;01.01.95;0;1310;1310;4;4;0-10 cm
WSL - sand, low N;01.09.98;3.75;1167;1214;4;4;0-10 cm
;;;;;;;
WSL - sand, high N;01.01.95;0;1310;1310;4;4;0-10 cm
WSL - sand, high N;01.09.98;3.75;1120;1183;4;4;0-10 cm
